Modele_DPE,Version_DPE,Methode_application_DPE,Etiquette_DPE,Etiquette_GES,Type_batiment,Hauteur_sous_plafond,Conso_5_usages_finale,Conso_5_usages_m2_finale,Conso_chauffage_finale,Conso_chauffage_depensier_finale,Conso_eclairage_finale,Conso_ECS_finale,Conso_ECS_depensier_finale,Conso_refroidissement_finale,Conso_refroidissement_depensier_finale,Conso_auxiliaires_finale,Conso_5_usages_primaire,Conso_5_usages_par_m2_primaire,Conso_chauffage_primaire,Conso_chauffage_depensier_primaire,Conso_eclairage_primaire,Conso_ECS_primaire,Conso_ECS_depensier_primaire,Conso_refroidissement_primaire,Conso_refroidissement_depensier_primaire,Conso_auxiliaires_primaire,Emission_GES_5_usages,Emission_GES_5_usages_par_m2,Emission_GES_chauffage,Emission_GES_chauffage_depensier,Emission_GES_eclairage,Emission_GES_ECS,Emission_GES_ECS_depensier,Emission_GES_refroidissement,Emission_GES_refroidissement_depensier,Emission_GES_auxiliaires,Cout_chauffage_energie_num1,Cout_ECS_energie_num1,Emission_GES_5_usages_energie_num1,Type_energie_num1,Cout_total_5_usages,Cout_chauffage,Cout_chauffage_depensier,Cout_eclairage,Cout_ECS_depensier,Cout_ECS,Cout_refroidissement,Cout_refroidissement_depensier,Cout_auxiliaires,Qualite_isolation_enveloppe,Qualite_isolation_menuiseries,Qualite_isolation_murs,Ubat_W_m2_K,Appartement_non_visite_0_1,Nombre_appartement,Nombre_niveau_immeuble,Nombre_niveau_logement,Surface_habitable_immeuble,Surface_habitable_logement,Score_BAN,Cout_chauffage_energie_num2,Cout_ECS_energie_num2,Type_energie_num2,Emission_GES_5_usages_energie_num2,Qualite_isolation_plancher_bas
RT2012,1_1,dpe_etude_thermique_RT2012_batiment_appartement,B,A,appartement,2.5,3353.4,75.0,1116.9,1295.6,24.3,2091.2,2948.6,0.0,0.0,4.0,3542.1,79.2,1116.9,1295.6,55.9,2948.6,2091.2,0.0,0.0,9.2,263.2,5.9,88.2,102.4,1.7,232.9,165.2,0.0,0.0,0.3,87.9,164.6,0.0,Reseau_Chauffage_urbain,287.8,87.9,102.0,83.8,232.1,164.6,0.0,0.0,22.3,moyenne,tres_bonne,bonne,0.69,FAUX,47.0,1.0,1.0,3158.9,44.7,0.8,0.8,0.0,Electricite,1.9,bonne
RT2012,1_1,dpe_etude_thermique_RT2012_batiment_appartement,B,A,appartement,2.5,3163.8,69.8,1144.5,1327.6,25.0,1881.4,2652.7,0.0,0.0,5.0,3343.3,73.8,1144.5,1327.6,57.6,2652.7,1881.4,0.0,0.0,11.5,248.3,5.5,90.4,104.9,1.7,209.6,148.6,0.0,0.0,0.3,90.1,148.1,0.0,Reseau_Chauffage_urbain,278.2,90.1,104.5,86.3,208.8,148.1,0.0,0.0,17.3,bonne,tres_bonne,tres_bonne,0.63,FAUX,56.0,1.0,1.0,3235.4,45.3,0.71,0.71,0.0,Electricite,2.0,tres_bonne
RT2012,1,dpe_etude_thermique_RT2012_batiment_appartement,A,A,appartement,2.5,2161.3,49.1,893.5,1036.4,30.9,1163.0,1639.8,0.0,0.0,7.3,2297.6,52.1,893.5,1036.4,71.1,1639.8,1163.0,0.0,0.0,16.7,188.1,4.3,78.6,91.2,2.1,144.3,102.3,0.0,0.0,0.5,70.3,91.5,0.0,Reseau_Chauffage_urbain,200.0,70.3,81.6,84.9,129.1,91.5,0.0,0.0,20.0,insuffisante,tres_bonne,insuffisante,0.94,FAUX,27.0,1.0,1.0,1606.2,44.1,0.68,0.68,0.0,Electricite,2.6,tres_bonne
RE2020,1,dpe_appartement_genere_donnees_DPE_immeuble,B,B,appartement,2.5,6281.2,102.0,3892.4,4515.2,120.7,2147.3,3027.6,0.0,0.0,120.7,6595.1,107.0,3892.4,3892.4,277.7,2147.3,2147.3,0.0,0.0,277.7,408.6,6.0,253.0,253.0,8.3,139.6,139.6,0.0,0.0,7.7,306.3,169.0,408.6,Electricite,563.3,306.3,306.3,44.0,169.0,169.0,0.0,0.0,44.0,moyenne,tres_bonne,insuffisante,0.83,VRAI,63.0,1.0,1.0,3092.3,61.4,0.61,0.61,169.0,Reseau_Chauffage_urbain,408.6,bonne
RT2012,1_1,dpe_etude_thermique_RT2012_batiment_appartement,C,C,appartement,2.5,2505.5,56.1,1073.5,1245.2,28.0,1323.3,1865.9,0.0,0.0,0.0,2646.8,59.2,1073.5,1245.2,64.5,1865.9,1323.3,0.0,0.0,0.0,551.5,12.3,243.7,282.7,1.9,423.6,300.4,0.0,0.0,0.0,69.0,85.0,0.0,Gaz_naturel,185.5,69.0,80.0,96.6,119.9,85.0,0.0,0.0,0.0,bonne,tres_bonne,bonne,0.65,FAUX,69.0,1.0,1.0,2841.7,44.7,0.8,0.8,0.0,Electricite,1.9,bonne
RT2012,1,dpe_etude_thermique_reglementaire_RT2012_batiment_maison_individuelle,A,A,maison,2.5,2369.2,17.4,1481.0,1718.0,243.9,505.0,712.1,0.0,0.0,52.3,5449.3,40.0,3406.3,3951.3,560.9,1637.7,1161.5,0.0,0.0,120.2,175.6,1.3,117.0,135.7,16.8,46.3,32.8,0.0,0.0,3.3,412.0,141.0,25.7,Electricite,660.0,412.0,477.9,68.0,198.8,141.0,0.0,0.0,15.0,tres_bonne,tres_bonne,tres_bonne,0.37,FAUX,1.0,1.0,1.0,136.2,136.2,0.36,0.36,74.2,Electricite,219.6,tres_bonne
RE2020,1_1,dpe_appartement_genere_donnees_DPE_immeuble,B,B,appartement,2.5,2776.6,43.0,698.2,809.9,120.9,1856.8,2618.0,0.0,0.0,100.7,3101.1,49.0,710.5,710.5,278.1,1880.9,1880.9,0.0,0.0,231.7,590.4,9.0,157.1,157.1,8.3,418.5,418.5,0.0,0.0,6.4,79.3,209.8,590.4,Gaz_naturel,353.4,79.3,79.3,35.1,209.8,209.8,0.0,0.0,29.2,bonne,tres_bonne,tres_bonne,0.53,FAUX,23.0,1.0,1.0,1248.6,63.2,0.4,0.4,209.8,Electricite,590.4,tres_bonne
RT2012,1,dpe_etude_thermique_RT2012_batiment_appartement,C,C,appartement,2.5,5758.9,65.1,1972.1,2287.6,174.2,3479.3,4905.9,0.0,0.0,41.0,6158.6,69.6,1972.1,2287.6,400.7,4905.9,3479.3,0.0,0.0,94.3,1258.0,14.2,447.7,519.3,12.0,1113.6,789.8,0.0,0.0,2.6,284.4,501.8,0.0,Gaz_naturel,898.1,284.4,329.9,63.5,707.5,501.8,0.0,0.0,14.9,moyenne,tres_bonne,bonne,0.71,FAUX,37.0,1.0,1.0,2157.7,88.5,0.78,0.78,0.0,Electricite,14.6,tres_bonne
RT2012,1,dpe_etude_thermique_RT2012_batiment_appartement,C,C,appartement,2.5,8440.1,64.8,5670.8,6578.1,242.6,2110.8,2976.3,0.0,0.0,34.7,9296.2,71.4,5670.8,6578.1,558.0,2976.3,2110.8,0.0,0.0,79.7,1545.2,11.9,1094.5,1269.6,16.7,574.4,407.4,0.0,0.0,2.2,446.3,166.1,0.0,Reseau_Chauffage_urbain,2393.6,446.3,517.7,656.2,234.2,166.1,0.0,0.0,93.6,moyenne,tres_bonne,bonne,0.68,FAUX,42.0,1.0,1.0,2583.8,130.2,0.78,0.78,0.0,Electricite,19.0,tres_bonne
RT2012,1,dpe_etude_thermique_reglementaire_RT2012_batiment_maison_individuelle,A,A,maison,2.5,5598.9,44.9,4081.0,4734.0,214.8,716.0,1009.6,0.0,0.0,0.0,8633.0,69.3,5141.8,5964.5,494.0,2322.0,1646.8,0.0,0.0,0.0,261.4,2.1,162.4,188.4,14.8,65.6,46.5,0.0,0.0,0.0,196.0,0.0,0.0,Bois_Granules_pellets_briquettes,848.0,424.0,491.8,60.0,282.0,200.0,0.0,0.0,0.0,tres_bonne,tres_bonne,tres_bonne,0.34,FAUX,1.0,1.0,1.0,124.7,124.7,0.59,0.59,200.0,Electricite,52.4,tres_bonne
